Tags,Meaning
java-test-fixtures,
datadetectortypes,
web-parts,
applepay,A payment method created by apple to pay for goods online or offline. 
monix,Monix is a library providing asynchronous programming facilities for Scala and Scala.js.
google-cloud-identity,
firebase-remote-config,"Firebase Remote Config allows developers to optimize and customize their iOS, Android and Web apps on the fly."
viewcontroller,viewcontroller is a design pattern which is a hybrid of the view and controller components of the MVC architecture 
trivially-copyable,
firebase-extensions,Firebase extensions are pre-packaged solutions available to be installed on projects within the Firebase serverless platform.
jpeg,JPEG is a commonly used method of lossy compression for digital photography (image). 
exception-safety,
spannable,An Android Spannable is an interface for text to which markup objects can be applied.
google-cloud-internal-load-balancer,
my.cnf,"Configuration file for MySQL programs, particularly for the mysqld server."
capybara,"Capybara is a web application testing framework for Rack applications, such as Rails, Sinatra and Merb."
java-native-interface,"The Java Native Interface (JNI) gives both the ability for JVM implementations to run system native code and the ability for native code to run Java code (by creating new JVM instances). The most common target languages for JNI are C and C++, for which at least the Sun/Oracle JDK implementations provide helper commands (javap - for code disassembly, javah for c code generation)."
collectors,"Collector, as of Java 8, is a mutating reduction operation on a Stream. Use this tag for specific questions about the usage of Collectors."
firebase-ab-testing,"Firebase A/B Testing helps you optimize your app experience by making it easy to run, analyze, and scale product and marketing experiments. It gives you the power to test changes to your app’s UI, features, or engagement campaigns to see if they actually move the needle on your key metrics (like revenue and retention) before you roll them out widely."
actionmailer,"Action Mailer is a framework for designing email service layers. Original ActionMailer is written in Ruby, but there is also implementation for ASP.NET MVC."
mgcv,"mgcv (Mixed GAM Computation Vehicle) is a CRAN package for the R language, it contains routines for GAMs and other generalized ridge regression with multiple smoothing parameter selection by GCV, REML or UBRE/AIC. Also GAMMs."
spring-logback,
arm-template,"Azure Resource Manager(ARM) Templates are used to deploy all the resources required for an application to Azure. In the template, you define the resources that are needed for the application and specify deployment parameters to input values for different environments. They consist of JSON and expressions which you can use to construct values for your deployment. "
static-classes,In object oriented programming a static class is a class whose members must be accessed without an instance of the class. Its members must be created as static.
xdebug,"Xdebug is a PHP extension with developing aids, a profiler, an interactive debugging, and a code coverage information gatherer. "
securitymanager,A security manager is an object that defines a security policy for an application. This policy specifies actions that are unsafe or sensitive. Any actions not allowed by the security policy cause a SecurityException to be thrown. An application can also query its security manager to discover which actions are allowed.
layer-list,"A Drawable that manages an array of other Drawables. These are drawn in array order, so the element with the largest index is be drawn on top. Creates a LayerDrawable."
componentwillreceiveprops,
ruby-on-rails-5.2,"For issues specific to the version 5.2 of Rails. If your question applies to Ruby on Rails in general, use the tag [ruby-on-rails]. "
gauge,"A measurement component, typically using a fix dial and a rotating hand."
sos,SOS is a debugger extension that allows a developer to inspect the managed state of a .NET Core and desktop runtime process. SOS can be loaded by WinDbg/cdb debuggers on Windows and lldb on Linux and macOS.
cancellation,Cancellation is paradigm that allows cooperatively canceling a running operation before it finishes.
onactivityresult,"Called when an activity you launched exits, giving you the requestCode you started it with, the resultCode it returned, and any additional data from it. The resultCode will be RESULT_CANCELED if the activity explicitly returned that, didn&#39;t return any result, or crashed during its operation."
uicollectionview,"The UICollectionView class manages an ordered collection of data items and presents them using customizable layouts. Collection views provide the same general function as table views except that a collection view is able to support more than just single-column layouts. Collection views support customizable layouts that can be used to implement multi-column grids, tiled layouts, circular layouts, and many more. Available in iOS 6.0 and later "
julia-jump,JuMP is a domain-specific modeling language for mathematical programming embedded in the Julia language.
wia,Windows Image Acquisition (WIA) is the still image acquisition platform in the Windows family of operating systems starting with Windows Millennium Edition (Windows Me) and Windows XP. 
pre-commit.com,
kafka-consumer-api,Use for questions related to the Apache Kafka consumer API
web-applications,"Do NOT use alone. Do NOT use with web-frameworks or libraries like [reactjs], [django] or [flask].   Use for questions about web applications, where a more specific tag isn&#39;t applicable. Use with a appropriate language tag([java]) and the specific aspect of web-application, the question is about: http method([post],[get]), errors([http-status-code-404]), client-server communication ([client-server]) or server errors."
hummingbird,
hapi,"HAPI (HL7 application programming interface; pronounced &quot;happy&quot;) is an open-source, object-oriented HL7 2.x parser for Java."
recurrent-neural-network,A recurrent neural network (RNN) is a class of artificial neural network where connections between units form a directed cycle.
fiddler,"Fiddler (aka &quot;Fiddler classic&quot;) is a .net based web debugging proxy, which allows you to log, examine, modify and replay HTTP/HTTPS traffic from your computer. "
android-imageview,"Displays an arbitrary image or a drawable, such as an icon or an xml defined graphical element."
boolean,A Boolean data type is a data type with only two possible values: true or false.
popart,"Questions related to Graphcore Poplar Advanced Run Time (PopART) programming framework, part of the Poplar SDK for implementing and running algorithms on networks of Graphcore IPU processors."
hc-05,"HC‐05 module is Bluetooth SPP (Serial Port Protocol) module. Use HC-05 to communicate with any device with Bluetooth functionality like a Phone, PC or Tablet."
multipeer-connectivity,"The MultipeerConnectivity framework is an iOS 7 framework for connecting to nearby peers over Bluetooth, Wi-Fi, or P2P."
buildsrc,
http2,"HTTP2 (or HTTP v2.0) is an alternative to, but does not obsolete, HTTP1.1."
gallery,Gallery is a collection of photos in a software system
java-text-blocks,"A text block is a multi-line string literal feature in Java 15 and later. Avoids the need for most escape sequences, automatically formats the string in a predictable way, and gives the developer control over the format when desired."
pytest-asyncio,pytest-asyncio is a pytest plugin that facilitates testing asyncio code by providing helper fixtures and markers.
att,"AT&amp;T Syntax is an assembly syntax used in UNIX environments, that originates from AT&amp;T Bell Labs. It is descended from the MIPS assembly syntax."
fsm,Acronym for Finite State Machine. 
docker-ingress,
go-cobra,A Commander for modern Go CLI interactions
unsafe,"In C# or Rust, the unsafe keyword marks code able to work directly with memory pointers, bypassing some of the language&#39;s safety checks. In Java, `sun.misc.Unsafe` is a special class performing low-level, unsafe operations."
html-select,An HTML user interface element for choosing one or more option(s) from a finite collection of options.
apache-nifi,"Apache NiFi is an easy to use, powerful, and reliable distributed system to transform and distribute data."
regex-greedy,"The greedy regex property causes the regex engine to repeat a regex token as often as possible. Only if that causes the entire regex to fail, give up the last iteration, and proceed with the remainder of the regex. The greedy regex tokens are `+`, `*`, `?` and  the repetition using curly braces."
mobile-website,Mobile Website refers to the design and implementation of web content aimed at clients using mobile devices such as phones or tablets.
mkv,"This tag is for questions about playback of, creation of, and programmatic interaction with, Matroska multimedia Container (*.mkv,*.mka) files.
"
euler-angles,The Euler angles are three angles introduced by Leonhard Euler to describe the 3D orientation of a rigid body.
odbc,Open Database Connectivity (ODBC) provides a standard software interface for accessing database management systems (DBMS).
computer-science,Computer science (CS) is the science behind programming. It is the study of the theoretical foundations of information and computation and of practical techniques for their implementation and application in computer systems.
phpickerviewcontroller,
mosml,Moscow ML is an open source compiler for the Standard ML programming language.
httpexception,HttpException or HTTPException are exception classes defined by various object oriented libraries that signal a problem during processing of a http request. 
fabricjs,"Fabric.js is an HTML5 canvas library, providing an object model for canvases, an SVG-to-canvas renderer and a canvas-to-SVG parser."
offsetdatetime,
clojurescript,ClojureScript is a dialect of Clojure that compiles to JavaScript.
allennlp,"An open-source NLP research library, built on PyTorch"
blazor-webassembly,"There are two hosting models for Blazor apps: server-side (often pre-rendered) and client-side (WebAssembly). Because of the different hosting environments, something what may work on the client-side might not on the server-side, and vice versa. Use this tag for questions specific to client-side hosted Blazor apps."
scntechnique,"An SCNTechnique object describes a rendering technique that uses one or more additional drawing passes, each of which uses a custom OpenGL shader program to augment or postprocess SceneKit’s rendering of the scene."
wcag,Web Content Accessibility Guidelines (WCAG) are part of a series of Web accessibility guidelines published by the W3C&#39;s Web Accessibility Initiative.
write-host,
open-liberty,"Open Liberty is a highly composable, fast to start, dynamic application server runtime environment distributed under the EPLv1 license."
python-2.x,"For questions about Python programming that are specific to version 2.x of the language. Use the more generic [python] tag for all Python questions, and only add this tag if your question is version-specific."
homebrew-cask,A friendly homebrew-style CLI workflow for the administration of Mac applications distributed as binaries.
types,"Types, and type systems, are used to enforce levels of abstraction in programs."
setinterval,setInterval is a global JavaScript method. It is used to execute a particular function or piece of code at regular intervals.
google-cloud-load-balancer,
redlock.net,An implementation of the Redlock distributed lock algorithm
cordova-android,
signalr-backplane,"In electronics, a backplane is a group of parallel connectors. By analogy, a SignalR backplane connects multiple servers."
firebase-realtime-database,"Firebase Realtime Database is a cloud hosted, NoSQL, JSON database that provides offline caching and synchronization. Do NOT use this tag for questions about Cloud Firestore; instead use the [google-cloud-firestore] tag."
clang-format,"clang-format is a tool to format C/C++/Java/JavaScript/Objective-C/Protobuf code.
"
stack-trace,A report of the active stack frames at a certain point in time during the execution of a program.
rbenv,"a simple version manager for Ruby, with a plugin system to modify its behaviour."
kotlin-coroutine-channel,
ipu,"Acronym for Graphcore “Intelligence Processing Unit”. Use this tag for anything related to the IPU, including general purpose IPU usage, framework specific IPU programming, OS version compatibility, Graphcore tools (command line gc-tools and PopVision Graph Analyser). For framework specific IPU programming questions, add the corresponding tag: [poplar], [tensorflow], [popart], [pytorch]. "
oauth2client,[DEPRECATED] The oauth2client python library made it easy to connect to resources protected by OAuth2.0. The library is deprecated. Use google-auth and oauthlib instead. 
pre-commit-hook,"In the context of Software Configuration Management (SCM), a pre-commit hook is a command run just before a commit is performed."
imblearn,"Python Imbalanced learning package. To improve results or speed of learning process in Machine Learning algorithms on datasets where one or more of the classes has significantly less / more training examples you can use imbalanced learning approach. Imbalanced learning methods use re-sampling techniques like SMOTE, ADASYN, Tomek links, and their various combinations."
this,Keyword that refers to the current class instance or object in many object-oriented programming languages.
mongoexport,
internal-app-sharing,
code-behind,"Code-behind refers to code for your UI (Windows Forms, ASP.NET page, etc.) contained within a separate class file. This allows separation of the UI and the logic behind it."
lets-encrypt-webapp-renewer,
autolayout,"Auto Layout is a constraint-based, descriptive user interface layout system for OS X and iOS."
azure-yaml-pipelines,
xml-namespaces,"According to the standard, &quot;XML namespaces provide a simple method for qualifying element and attribute names used in Extensible Markup Language documents by associating them with namespaces identified by URI references.&quot;"
plt-redex,"PLT Redex is a domain-specific language designed for specifying and debugging operational semantics. Given a grammar and the reduction rules, PLT Redex allows interactive exploration of terms and the use of randomized test generation to attempt to falsify properties of a given semantics.
"
kinect,"Microsoft&#39;s Kinect is a motion sensing input device for the Xbox 360, Xbox One and PCs. Combining video and depth cameras, the Kinect allows developers to create a touchless and immersive user experience through voice, movement and gesture control."
cupy,CuPy is an implementation of NumPy-compatible multi-dimensional array on CUDA.
eager-loading,Eager loading is a way to load objects of a certain class and a number of named associations in the same request.
local-variables,"Local variables have a limited scope, generally one function or one functional block."
volumes,
instrumented-test,
cross-validation,Cross-Validation is a method of evaluating and comparing predictive systems in statistics and machine learning.
websphere-8,Version 8.x of IBM WebSphere Application Server (WAS)
tagged-templates,
uitoolbar,"A toolbar is a control that displays one or more buttons, called toolbar items. A toolbar momentarily highlights or does not change the appearance of an item when tapped."
in-place,"Use this tag on questions about algorithms that modify the data in-place, as opposed to making a copy. For example, in-place sorting, in-place merge, etc.
"
memset,memset is a C standard library function that sets the first N bytes of the block of memory to the specified value (interpreted as an unsigned char)
github-codereviews,Questions which are related to the GitHub pull request reviews functionality.
lts,"Long-Term Support (LTS) is a product lifecycle management policy in which a stable release of computer software is maintained for a longer period of time than the standard edition. The term is typically reserved for open-source software, where it describes a software edition that is supported for months or years longer than the software&#39;s standard edition."
material-components-android,"Material Components for Android (MDC-Android) help developers execute Material Design. Developed by a core team of engineers and UX designers at Google, these components enable a reliable development workflow to build beautiful and functional Android apps. "
google-barchart,
dataloader,DataLoader is a generic utility to be used as part of your application&#39;s data fetching layer to provide a consistent API over various backends and reduce requests to those backends via batching and caching. 
module-info,Used for module-info.class related queries used for module declaration in Java since its Java 9 release. This would mostly be coupled with java-9 or above tag.
facebook-customer-chat,Questions dealing with the Facebook Messenger plugin.
android-jetpack-compose,A declarative toolkit for building UI
typename,"typename is a keyword in the C++ programming language with two meanings.  First, it can be used to declare type arguments inside a template declaration, and is synonymous with &quot;class.&quot;  Second, it can be used to indicate that a dependent name refers to a type.  A common cause of errors in C++ code is the omission of an essential typename."
imdf,
heatmap,A heat map is a graphical representation of data where the individual values contained in a matrix are represented as colors.
tcp-keepalive,
github-api-v3,
telegraf,"Telegraf  is an open source, plugin-driven agent for collecting and reporting metrics written in Go with no external dependencies."
e-commerce,"Electronic commerce, commonly known as e-commerce, eCommerce or e-comm, refers to the buying and selling of products or services over electronic systems such as the Internet."
bloc,BLoC stands for Business Logic Component. The application implementation pattern of using BLoC is called BLoC pattern.
access-denied,Error message/exception when access to a certain resource is denied due to insufficient privileges.
tibble,"tibble could refer to an R class (tbl_df class), which is an improved data frame with stricter checking and better formatting. tibble could also refer to an R package providing functions to create and manipulate a tibble. "
guzzle,"Guzzle is a PHP HTTP client that makes it easy to send HTTP requests and trivial to integrate with web services. Guzzle can be used with cURL, PHP&#39;s stream wrapper, sockets, and non-blocking libraries like React."
hopper,Hopper is a tool that will assist you in your static analysis of executable files. 
keras-layer,
phpstorm-2019,
sqlbulkcopy,Lets you efficiently bulk load a SQL Server table with data from another source.
rust-pin,"Pinning is a concept in the [rust] programming language that requires a piece of data to never be moved from its location in memory. Questions with this tag are about the complexities of the pinning contract, transitioning between pinned references and mutable references, or calling methods on pinned objects. Pinning is closely tied to async in Rust; this tag is not for async-related questions unless the question specifically includes the pinning contract."
embedded-linux,"Embedded Linux is the use of Linux in embedded computer systems such as mobile phones, personal digital assistants, media players, set-top boxes, and other consumer electronics devices, networking equipment, machine control, industrial automation, navigation equipment and medical instruments."
dagger,Dagger is a dependency injection library for Java and Android.
declarative,Declarative programming is a paradigm of expressing the logic of a computer program or computation without explicit describing its control flow.
kubernetes-custom-resources,
dilation,
mounted-volumes,
unification,"Unification, in computer science and logic, is an algorithmic process by which one attempts to solve the satisfiability problem. The goal of unification is to find a substitution which demonstrates that two seemingly different terms are in fact either identical or just equal. 
"
use-effect,"Questions related to the use of &#39;useEffect&#39;, which is a reactjs hook."
peak-detection,
data-stream,"In Connection-oriented communication, a data stream is a sequence of digitally encoded coherent signals (packets of data or data packets) used to transmit or receive information that is in the process of being transmitted."
captivenetwork,"A Captive Network is generally a Wifi one. Such a network redirect any traffic to a local machine. It disallows surfing the Internet, until you have authenticated or accepted ToS. "
apache-beam,"Apache Beam is a unified SDK for batch and stream processing. It allows to specify large-scale data processing workflows with a Beam-specific DSL. Beam workflows can be executed on different runtimes like Apache Flink, Apache Spark, or Google Cloud Dataflow (a cloud service)."
uicontrol,"UIControl is the base class for control objects such as buttons and sliders. You cannot use the UIControl class directly to instantiate controls. It instead defines the common interface and behavioral structure for all its subclasses.
The main role of UIControl is to define an interface and base implementation for preparing action messages and initially dispatching them to their targets when certain events occur. Available in iOS 2.0 and later in UIKit."
greatest-n-per-group,Query the row with the greatest/least value per group.
has-many-through,"In Ruby on Rails, a has_many :through association is often used to set up a many-to-many connection with another model. This association indicates that the declaring model can be matched with zero or more instances of another model by proceeding through a third model."
change-data-capture,Change data capture (CDC) encompasses database design patterns to keep track of changed data and perform actions with it.
jenkins-job-dsl,Jenkins Job-DSL is a Jenkins plugin which enables the creation of Jenkins Jobs using Groovy scripts. It&#39;s available in the standard Jenkins plugin list.
launch4j,Cross-platform Java executable wrapper for creating lightweight Windows native EXEs. Provides better user experience.
flutter-theme,
asp.net-mvc-2,"ASP.NET MVC 2 is the second major version of the ASP.NET MVC platform, it has since been outdated by ASP.NET MVC 3."
spring-data-rest,Spring Data REST (SDR) is a Spring Data project that aims to make it easy to expose Spring Data repositories as REST services. SDR use Spring HATEOAS internally to create HAL response.
apple-silicon,"Use this tag for questions related to Apple&#39;s ARM-based CPU found in macOS systems from 2020 onwards, known by the marketing term &quot;Apple Silicon&quot;"
collaborative-filtering,For questions related to collaborative filtering and recommendation systems.
swiperefreshlayout,SwipeRefresLayout is a standard way to implement the common Pull to Refresh pattern in Android.
polygon,"For issues relating to the creation, manipulation and rendering of polygons in graphical user interfaces."
webgl2,WebGL 2 is the 2nd version of WebGL. It is based on OpenGL ES 3.0
core-api,The Core API is based on HTTP and OAuth and provides low-level calls to access and manipulate a user&#39;s Dropbox account.
audiowaveform,
meta,Meta elements are the HTML or XHTML &lt;meta … &gt; element used to provide structured metadata about a Web page. DO NOT USE this tag for questions about Stack Overflow; post these on meta.stackoverflow.com instead.
react-window,
nspersistentcloudkitcontainer,
cubical-type-theory,
stylesheet,DO NOT USE THIS TAG. Use [css] for CSS related issues and [xslt] for XSLT related issues instead.
gnome-shell-extensions,The Gnome Shell (Gnome 3) offers JavaScript bindings to customize and extend the shell behavior.
oracle11g,"Oracle is an Object-relational Database Management System (ORDBMS) created by Oracle Corporation. Specific releases of the product are known as Oracle9i, Oracle10g, Oracle 11g and Oracle 12c, where &quot;i&quot;, &quot;g&quot; and &quot;c&quot; stand for &quot;internet&quot;, &quot;grid&quot; and &quot;cloud&quot; respectively. Generally there are two releases within each major version. Questions tagged [oracle11g] are assumed to be specific to this version or features introduced in this version."
webvtt,WebVTT (Web Video Text Tracks) is a plain-text subtitle format designed for use with HTML5 video.
javabeans,"A javabean is a custom class which often represents real-world data and encapsulates private properties by public getter and setter methods. For example, User, Product, Order, etc."
opensaml,OpenSAML is a java and c++ library that provides low level handling of SAML messages
ssh-keys,SSH Keys are pairs of sequences of randomly generated bytes that provide the basis of SSH public key cryptography and challenge-response authentication. The sequences are typically stored in files and one of them is referred to as the Public key while the other is the Private key.
guava,Google&#39;s Core Java Library for Java and Android development.
static-cast,"A C++ cast operator to convert from one type to another, using only information about the static type of the object being cast"
google-one-tap,
css-purge,"A CSS tool written in Node JS as a command line app or library for the purging, burning, reducing, shortening, compressing, cleaning, trimming and formatting of duplicate, extra, excess or bloated CSS."
cert-manager,"For questions about the open source cert-manager project for Kubernetes, by Jetstack."
springdoc-openui,
tls1.0,Transport Layer Security version 1.0 - formerly an upgrade of SSL Version 3.0
measurement-protocol,The Google Analytics Measurement Protocol allows developers to make HTTP requests to send raw user interaction data directly to Google Analytics servers.
micronaut,Micronaut is a JVM framework for building web applications with a strong focus on microservice applications.
google-chrome-devtools,Chrome DevTools are the web developer tools built into Google Chrome.
facebook-events,Represents a real life event in order to inform your Facebook friends about it.
gamepad,A type of game controller held in two hands
multiple-select,
appgallery,Questions regarding the Huawei AppGallery. Huawei AppGallery is Huawei&#39;s official Android Application store.
woocommerce-rest-api,"WooCommerce REST API is fully integrated with the WordPress REST API since WC version 2.6+, allows WC data to be created, read, updated, and deleted using requests in JSON format and using **WordPress REST API** Authentication methods and standard HTTP verbs…"
gembox-email,"GemBox.Email is a .NET component that enables developers to send and receive emails using POP, IMAP, SMTP and EWS clients from their .NET applications."
file-copying,The filesystem operation whereby the contents of a disk file are duplicated exactly and stored in a different location.  Questions concerning non-filesystem methods (e.g. using stdin and stdout) of file duplication are also acceptable.
amazon-lightsail,"QUESTIONS ABOUT SERVER ADMINISTRATION ARE OFF-TOPIC. Consider https://serverfault.com for those. Virtual Private Server (VPS) platform from Amazon Web Services.

NOTE: Since there are a number of OS options available on Lightsail, it will help people answer your question if you indicate what blueprint you are using."
android-mapview,MapView allows you to create your own Google map-viewing Activity
hangfire,"Hangfire is an open-source framework that helps you to create, process and manage your background jobs in .NET Framework and .NET Core."
visual-studio-container-tools,
subnet,"A part of the IP address identifying the whole local network (high bits as defined by netmask). The remainder of the IP address (host id) identifies devices that are connected to this network. Can also mean the local network itself, if addressed by IP address in a described way."
serial-communication,"Serial communication is the process of sending and receiving data via communication channel bit by bit sequentially, one bit at a time.
"
generic-programming,A style of programming in which algorithms are implemented abstracting from concrete data types. Usually referred to strongly typed languages this term is usually treated as creating software which is minimal in terms of data type requirements and can be instantiated for each conforming data type without changing the callee code.
bitflags,the use of individual bits in a byte (or a set of bytes) to represent boolean values.
javafx-css,CSS can be used to style a UI created with JavaFX. It is based on CSS version 2.1. This tag should be used for questions about styling JavaFX Nodes using CSS.
panic,A condition of the the operating system when its state is so broken that imminent shutdown is preferred.
cpu-usage,CPU usage indicate how much of a workload is being handled by the CPU.
quosure,
substitution,The action of replacing something with another thing.
webpacker,"Webpacker is a Ruby gem for Ruby on Rails that makes it easy to use Webpack, the JavaScript module bundler, to manage application-like JavaScript in Rails. It coexists with the asset pipeline and can even replace it by processing CSS, images, fonts, and more."
jeditorpane,A Java Swing text component to edit various kinds of content.
pose-estimation,The specific task of determining the position and orientation of an object in an image relative to the camera coordinates is called Pose Estimation.
avr-gcc,avr-gcc is a suite of executable software development tools for Atmel AVR RISC processors
cross-platform,An attribute conferred to computer software or computing methods and concepts that are implemented and inter-operate on multiple computer platforms.
graphic-design,the creative process in which an artist produces imagery to convey a message.
pythreejs,"Use this tag for questions related to pythreejs, the notebook extension based on Jupyter widgets. "
repo,"Repo is a repository management tool that Android built on top of Git. Repo unifies the many Git repositories when necessary, does the uploads to our revision control system, and automates parts of the Android development workflow. Repo is not meant to replace Git, only to make it easier to work with Git in the context of Android. The repo command is an executable Python script that you can put anywhere in your path."
text-alignment,"Most word processing programs give you the capability to change the text alignment of a block of text. This setting determines how the text is displayed horizontally on the page. The four primary types of text alignment include left aligned, right aligned, centered, and justified."
sql-server-mars,Multiple Active Result Sets is a feature used on Microsoft&#39;s SQL Server to allow multiple batch execution on a single server
beam,"This tag should be used for questions about the BEAM, the Erlang virtual machine."
unnamed-class,A class that has been declared without a class-head-name.
koa-bodyparser,
meteor,Meteor is a modular platform for developing web and mobile applications in JavaScript based on the NodeJS platform.
contravariance,"Within the type system of a programming language, covariance and contravariance refers to the ordering of types from narrower to wider and their interchangeability or equivalence in certain situations (such as parameters, generics, and return types)"
jenkins-github-plugin,
viper-go,This tag is for questions related to the Go Viper package for reading configuration data from files and other sources.
mysql,"MySQL is a free, open source Relational Database Management System (RDBMS) that uses Structured Query Language (SQL).  DO NOT USE this tag for other DBs such as SQL Server, SQLite etc.  Those are different DBs which all use their own dialects of SQL to manage the data."
virtual-serial-port,Use this tag for question related to virtual serial port.
phpstan,PHPstan is an open-source static analyzer for PHP.
nodemon,"nodemon is an automated process that monitors the directory for a given node application. When files change in this directory, nodemon automatically restarts the node application."
chart.js,"Chart.js is a JavaScript library for creating animated, interactive graphs for inclusion on web pages"
zero-padding,The practice of padding a number (or string) with zeros in order to match an expected number of characters or bytes.
feathers-sequelize,
githooks,"Git hooks are scripts that are executed upon certain git events. Events include, but are not limited to, pre- and post-commit and pre- and post-rebase on the client-side, and post-receive-commit on the server-side. No need to use the tag Hooks when using the tag Githooks.  Maybe used in combination with tag Webhooks"
es6-class,This tag is for questions regarding Classes in Ecmascript 6. The tag is only for classes provided in the Ecmascript version.
mailgun,"Mailgun is an online service that provides a set of APIs for sending, receiving, tracking and storing email. "
idfa,The Advertising Identifier (IDFA) is a unique ID for each iOS device that mobile ad networks typically use to serve targeted ads. Users can choose to limit ad tracking by turning off this setting on their devices.
merge-request,
random-walk,"A random walk is a mathematical formalization of a path that consists in a succession of random steps. A random walk can be a Markov chain or process; it can be on a graph or a group. Random walks can model randomized processes, in fields such as: ecology, economics, psychology, computer science, physics, chemistry, and biology."
azure-cosmosdb-mongoapi,"Azure Cosmos DB databases can be configured to use the MongoDB API. Via this feature Cosmos DB aims to provide a compatible server interface for applications using the MongoDB wire protocol. Since Cosmos DB is a distinct implementation from MongoDB server, some server commands may not be supported yet or may differ in behavior."
jsr310,JSR 310: Date and Time API in Java JDK 8. Please use the [java-time] tag for questions relating to date &amp; time in Java SE 8.
dead-letter,
sliverappbar,
pgx,
typesafe,Typesafe (now Lightbend) was founded to create a modern software platform for the era of multicore hardware and cloud computing workloads. It&#39;s built on Akka and it supports Scala.
swift-protocols,Protocols specific to the Swift language
zig,"Zig is an open-source programming language designed for robustness, optimality, and clarity."
windows-application-driver,
apple-vision,"Apple Vision is a high-level computer vision framework to identify faces, detect and track features, and classify images, video, tabular data, audio and motion sensors data. "
mobile-ad-mediation,Mobile ad mediation is the process is which a mobile ad platform delivers its inventory to a client application by utilizing a 3rd party service.
r-haven,The `haven` package for `R`
http-status-code-404,The HTTP status code 404 or &quot;Not Found&quot; indicates the server could not find the requested file or resource.
renderer,A renderer is a software construct that accepts and transforms information so that it can be displayed in a given medium.
dataitem,
webpack-dev-middleware,handles latest webpack output in memory for Express (node platform) web server (so it is an Express middleware)
luhn,Luhn&#39;s Algorithm is a simple checksum formula used to generate the check digit in most credit card numbers.
html5-notifications,This W3C specification defines an API to let a web page send a notification to the user on the desktop or mobile device.
upgrade,This tag refers to the process of replacing a particular system with a newer version of the same system
start-activity,Launch a new Activity by using Intent in Android.
onkeydown,This event is triggered when when the user is pressing a key or holding down a key.
debezium,"Debezium is an open source distributed platform to stream database changes.  Use this tag for questions related to using, configuring or troubleshooting Debezium."
libffi,"libffi is a portable Foreign Function Interface library, used to call functions defined in a different programming language"
precision,For questions related to numerical precision in programming. For classification precision use the tag [precision-recall].
sql-insert,The SQL INSERT statement allows you to insert a single or multiple rows into a table.
react-forms,
datetimepicker,GUI component that allows the user to select a date and a time and to display the date and time with a specified format.
hamcrest,"Hamcrest is an open source library of constraint classes used to match objects and values, typically by other frameworks such as unit testing, mocking, or collections."
frida,"FRIDA is a free dynamic instrumentation toolkit which lets you inject your own scripts into black box processes. Works on Windows, macOS, GNU/Linux, iOS, Android, and QNX."
newline,"Newline refers to a character sequence representing a line break in text (also known as End of Line, EOL, or Line Break). Different operating systems have different sequences for newlines."
default-parameters,"A default parameter is a function or method parameter that has a default value provided to it. If the user does not supply a value for this parameter, the default value will be used. If the user does supply a value for the default parameter, the user supplied value is used.
"
imshow,The imshow is a function from pyplot library that displays an image on the axes.
sequelize-cli,The Sequelize Command Line Interface (CLI) supports for migrations and seeders.
icloud-documents,
unity3d-unet,"UNET is the native Unity3D network system. It is the short form of unity networking. Use this tag to ask questions related to Unity3d networking.


"
optimization,"Optimization is the act of improving a method or design. In programming, optimization usually takes the form of increasing the speed of an algorithm, or reducing the resources it requires. Another meaning of optimization is numerical optimization algorithms used in machine learning."
llvm-clang,"Clang is the C language family front-end for the LLVM compiler. (The C language family includes C, C++, Objective-C, and Objective-C++.)"
autopy,"AutoPy is a simple, cross-platform GUI automation toolkit for Python. It includes functions for controlling the keyboard and mouse, finding colors and bitmaps on-screen, and displaying alerts -- all in a cross-platform, efficient, and simple manner."
video-recording,"Questions related to video recording on devices. Video recording usually refers to a process of capturing video and audio components separately, processing the captured streams and then possibly combining them into single entity like a file."
aws-sdk-nodejs,AWS SDK for JavaScript enables Node.JS developers to easily work with Amazon Web Services
ios-universal-links,"With universal links, iOS users can tap a link to your website and get seamlessly redirected to your installed app without going through Safari. If your app isn’t installed, tapping a link to your website opens your website in Safari."
cairo,"Cairo is a software library used to provide a vector graphics-based, device-independent API for software developers."
simpledateformat,"SimpleDateFormat is a concrete Java class for formatting and parsing dates and times in a locale-sensitive manner. It allows for formatting (date -&gt; text), parsing (text -&gt; date), and normalization. "
razor-class-library,
swiftui,"SwiftUI is a way to build user interfaces across all Apple platforms. Build user interfaces for any Apple device using one set of tools and APIs. With a declarative Swift syntax that’s easy to read and natural to write, SwiftUI works seamlessly with Xcode design tools to keep your code and design perfectly in sync. Automatic support for Dynamic Type, Dark Mode, localization, and accessibility. Use this tag for questions about SwiftUI on any platform."
amazon-cloudformation,"For questions about CloudFormation, part of the Amazon Web Services (AWS) that provides a way to manage a collection of related AWS resources."
software-design,"Software design is the activity of deciding what properties, elements, responsibilities, interfaces, relationships and interactions are required in order to create an effective piece of software."
ms-word,"For programming questions related to Microsoft&#39;s &quot;Word&quot; editor.

Questions on general usage of the editor are off-topic for Stack Overflow; they should be asked on Super User instead."
waitpid,"The `waitpid()` function is a POSIX function designated for waiting for status changes and for obtaining the status information about the child process whose status has changed.
"
normalize,"This tag has no single, established meaning at this time. In practice, it is currently being used for a number of unrelated topics. They include normalizing text, vector normalization and normalize() functions in assorted languages. For database normalization, please use [database-normalization]."
var,var is a keyword in a number of programming languages.
